person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,age_16_to_19,age_16_p,adult,male,female,has_non_worker,has_retiree,has_preschool_kid,has_driving_kid,has_school_kid,has_full_time,has_part_time,has_university,student_is_employed,nonstudent_to_school,is_student,is_gradeschool,is_highschool,is_university,school_segment,is_worker,home_taz,value_of_time,school_taz,school_taz_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_taz,workplace_location_logsum,distance_to_work,workplace_in_cbd,work_taz_area_type,roundtrip_auto_time_to_work,work_auto_savings,work_auto_savings_ratio,free_parking_at_work,cdap_activity,travel_active,under16_not_at_school,has_preschool_kid_at_home,has_school_kid_at_home,mandatory_tour_frequency,work_and_school_and_worker,work_and_school_and_student,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_non_escort_tours
1672879,580083,33,5,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2208,1.3803468888271395,-1,NA,NA,0,2173,11.687878782607132,3.35,FALSE,4,16.619999,117.380005,0.97816669999999994,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
1829075,630965,51,2,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2049,8.619578551658348,-1,NA,NA,0,2171,12.981439028709982,4.74,FALSE,4,22.14,167.45999,1,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
2274210,764379,7,5,1,4,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,520,5.82369895409878,425,10.440776597497731,6.66,32.64,-1,NA,NA,FALSE,NA,0,0,0,FALSE,H,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
1669204,579013,48,3,1,3,3,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,2206,1.3902522206897134,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,H,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
1989479,677117,28,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2725,8.235465566197334,-1,NA,NA,0,2343,12.564827553553815,15.72,FALSE,3,51.16,-47.8802,-0.39900166,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
311567,131122,28,1,2,1,2,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,TRUE,1255,35.03802880964252,1067,7.180607976349793,3.58,22.900002,768,13.243192592054957,7.15,FALSE,3,25.14,260.86,1,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,52,3,1,1,1,0,0,0,2
851598,308675,14,3,2,4,1,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,258,1.0776675352018812,344,10.380036290930768,3.6,21.82,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
164519,74663,68,1,1,3,3,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,1024,3.9983032227146498,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,48,2,1,0,1,0,0,0,1
1319233,464432,15,4,2,4,1,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE,1691,18.47410341887371,1236,10.134903803687248,5.02,24.529999,-1,NA,NA,FALSE,NA,0,0,0,FALSE,H,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
1177560,414558,19,2,2,1,3,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1732,3.5756895132359694,-1,NA,NA,0,1316,12.538966357929393,8.89,FALSE,3,38.83,316.77002,1,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
50471,17651,26,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1045,2.744564805024478,-1,NA,NA,0,1005,13.239436122991021,1.59,FALSE,4,10.73,-9.775999,-0.08146666,FALSE,H,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
93042,41886,45,1,1,3,2,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,FALSE,941,1.0856474363743562,942,9.064034313236368,0.17,2.5,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
1694843,588490,60,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2270,5.669520028505337,-1,NA,NA,0,2348,13.380279420017818,4.72,FALSE,3,23.51,165.29,1,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,1,1,0,0,0,0,1,0,1
1317608,463928,5,2,1,4,1,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,1689,2.0010060789970163,1637,11.351968910584416,2.58,13.14,-1,NA,NA,FALSE,NA,0,0,0,FALSE,H,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
1237644,433941,29,3,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1773,11.2546506537456,-1,NA,NA,0,2087,13.426055042537527,2.93,FALSE,4,21.95,95.25,0.79375,TRUE,H,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
2095370,708595,44,6,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2430,18.704175541804435,-1,NA,NA,0,2444,13.403863512709798,0.54,FALSE,4,4.26,17.34,0.1445,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
262473,112328,34,1,2,1,2,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,TRUE,914,5.578401039710445,889,9.381431293635583,0.79,7.3100004,1294,12.913841051313968,4.18,FALSE,4,21.41,-19.7758,-0.16479833,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
1533943,528994,44,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,304,7.34696719758796,-1,NA,NA,0,189,13.002085935515428,4.4,FALSE,3,20.96,-19.688398,-0.16406998,FALSE,H,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
1352977,476756,64,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1677,14.621129728834934,-1,NA,NA,0,633,13.70466242903166,18.04,FALSE,3,51.510002,670.09,1,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
1566939,542984,20,1,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,354,41.18368818149062,-1,NA,NA,0,584,12.218094058455401,21.09,FALSE,4,58.949997,-55.4652,-0.46221,TRUE,H,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
1625529,564730,14,3,1,4,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,413,1.920084412892202,413,11.288640349610457,0.34,2.04,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
1817880,627506,0,3,1,4,1,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,2195,7.831966187162682,2194,12.077409562430468,0.5,3.04,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
1504937,519390,58,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2776,50,-1,NA,NA,0,2785,12.40461248700105,0.86,FALSE,3,4.96,-4.0808,-0.034006666,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
564015,223718,53,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,744,2.019484449781765,-1,NA,NA,0,945,12.602392220322667,2.5,FALSE,5,14.28,85.72,0.71433336,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
535035,214360,7,9,2,4,1,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,696,7.338122881917835,717,12.221116426893936,2.06,11.95,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,TRUE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
254188,108899,43,4,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,890,3.2124960363688313,-1,NA,NA,0,938,12.873203161848195,6.64,FALSE,5,29.66,-27.4584,-0.22882001,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
1306332,459391,13,4,1,4,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,1637,1.3581882229254476,1249,11.822488203679647,0.76,4.82,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,TRUE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
1549060,535212,9,4,2,4,1,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,338,0.9840041410501907,339,11.323761276175862,0.29,1.88,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,TRUE,TRUE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
964430,345901,69,1,1,3,3,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,291,9.146116667047476,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,8,1,0,0,0,1,0,0,1
680304,256178,22,3,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1481,42.55814370471234,-1,NA,NA,0,738,13.75516057859479,14.08,FALSE,4,49.73,-46.2762,-0.385635,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
2407320,808866,49,2,2,2,3,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,644,9.17400638362982,-1,NA,NA,0,1056,13.837068311762318,4.92,FALSE,5,26.31,-24.7362,-0.206135,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,48,2,1,0,1,0,0,0,1
2338856,787078,5,4,1,4,1,8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,513,3.054676189053641,514,10.1538491130956,0.7,6.84,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
288319,122122,25,2,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,912,2.203542840245716,-1,NA,NA,0,2600,13.64976300414215,41.31,FALSE,4,99.31,1553.0901,1,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,16,1,0,0,1,0,0,0,1
78937,32503,26,1,1,3,2,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,FALSE,1053,3.821394206105963,1067,8.232108176015437,1.59,10.03,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,18,2,0,0,1,0,0,1,2
738098,272778,10,3,1,4,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,1414,2.080276486706689,929,11.923773209213095,1.24,6.5699997,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,1,1,0,0,0,0,1,0,1
1145578,403315,30,2,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1708,4.617223272144491,-1,NA,NA,0,1650,12.822056108653644,5.06,FALSE,4,29.54,-27.4234,-0.22852834,TRUE,H,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
1616401,561574,15,3,2,4,1,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE,387,9.124573007031,543,9.253823129259995,10.93,41.370003,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
2268695,762614,36,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,522,10.790477240118229,-1,NA,NA,0,519,13.019163077245812,0.63,FALSE,4,4.46,-3.6701999,-0.030584998,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0
1270099,445363,55,2,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1644,11.471953377478716,-1,NA,NA,0,1249,13.943424606494533,1.52,FALSE,4,9.25,51.55,0.42958334,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,1,0,0,0,0,0,0,0,0,0
603733,234906,50,3,1,3,3,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,878,4.080603118754196,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,25,3,0,0,1,1,1,0,3
865247,313165,38,2,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,191,8.065420780854861,-1,NA,NA,0,618,12.330313733666202,29.77,FALSE,4,70.57,-65.4928,-0.5457733,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,1,0,0,0,0,0,0,0,0,0
1553179,536989,15,3,2,4,1,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE,334,2.786962969909833,381,8.471466839710597,3.2,18.119999,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
970291,348081,52,1,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,294,6.438302395746512,-1,NA,NA,0,1068,12.555213243722985,29.04,FALSE,4,89.490005,1072.11,1,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,5,2,0,1,0,0,1,0,2
2125233,717934,62,2,2,3,3,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,529,44.51494285205272,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,32,1,1,0,0,0,0,0,0
